SBD,Họ và tên,Năm Sinh,Toán,Ngữ Văn,Vật lý,Hóa Học,Sinh Học,KHTN,Tiếng Anh,Lịch Sử,Địa Lý,GDCD,KHXH
3000000,[],,,,,,,,,,,,
3000001,[],,8.6,7.0,-1,-1,-1,-1,7.4,7.5,8.0,9.25,-1
3000002,[],,8.8,6.25,7.25,8.75,5.25,-1,4.2,-1,-1,-1,-1
3000003,[],,6.4,4.5,-1,-1,-1,-1,-1,4.5,5.5,-1,-1
3000004,[],,8.4,6.0,7.25,7.0,3.25,-1,4.8,-1,-1,-1,-1
3000005,[],,3.4,-1,2.25,3.25,-1,-1,-1,-1,-1,-1,-1
3000006,[],,6.2,7.75,-1,-1,-1,-1,4.0,5.0,8.25,9.0,-1
3000007,[],,8.4,7.0,-1,-1,-1,-1,6.0,-1,-1,-1,-1
3000008,[],,8.2,7.0,7.75,7.5,5.75,-1,5.0,-1,-1,-1,-1
3000009,[],,4.0,3.25,-1,-1,-1,-1,-1,3.5,7.75,-1,-1
3000010,[],,7.0,6.0,-1,-1,-1,-1,3.8,3.0,7.0,9.5,-1
3000011,[],,8.2,8.25,-1,-1,-1,-1,8.0,6.5,8.5,9.75,-1
3000012,[],,7.8,5.75,-1,-1,-1,-1,4.0,5.5,6.5,7.75,-1
3000013,[],,8.0,6.5,-1,-1,-1,-1,4.4,5.25,7.75,9.5,-1
3000014,[],,7.4,7.5,-1,-1,-1,-1,4.8,3.75,7.5,8.25,-1
3000015,[],,7.4,7.75,-1,-1,-1,-1,4.6,6.5,6.5,9.0,-1
3000016,[],,6.8,6.25,-1,-1,-1,-1,5.4,4.25,6.5,7.75,-1
3000017,[],,7.8,5.25,5.75,7.5,5.25,-1,6.2,-1,-1,-1,-1
3000018,[],,8.8,7.5,7.25,5.25,5.5,-1,3.2,-1,-1,-1,-1
3000019,[],,9.0,7.75,8.0,5.75,5.75,-1,8.4,-1,-1,-1,-1
